ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361662;Health risks caused by short term exposure to ultrafine particles generated by residential wood combustion: A case study of Temuco,Chile;Diaz-Robles, L. A., Fu, J. S., Vergara-Fernandez, A.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7361661;The air quality in chile;DÃ­az-Robles, L., Saavedra, H., Schiappacasse, L.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361660;Short Term Health Effects of Particulate Matter: A Comparison between Wood Smoke and Multi-Source Polluted Urban Areas in Chile;Diaz-Robles, L., Cortes, S., Vergara-Fernandez, A.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";NA;"""Human health""";"""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone"", ""Central zone""";"""Traffic "", ""Domestic heating / wood burning"""
7361659;Climate policy without tears: CGE-based ancillary benefits estimates for Chile;Dessus, S., O'Connor, D. ;Sanchez, Luis;"""Yes, include the reference""";"""International organization""";"""Information of the public""";"""Managment, economic, legal, social""";"""Economic"", ""Social and Cultural"", ""Regulatory and Legal""";"""Epidemiological"", ""concentrations"", ""Others not classified""";"""O3 ozone - photochemical smog"", ""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""VOCs/SVOCs - Organic Compounds"", ""COx - Oxides of Carbon"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions "", ""Traffic "", ""Power generation"""
7361658;Balance de masa en aerosoles atmosfericos de santiago de chile;Delavega, V., Fuentes, H., Ortiz, J.  et al.;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361657;Managing complexity through methodic participation: The case of air quality in Santiago, Chile;del Valle, A. ;Toro, Richard;"""Yes, include the reference""";"""Private sector""";"""Assessment of representativeness""";"""Managment, economic, legal, social""";"""Social and Cultural"", ""Regulatory and Legal""";"""Others not classified""";"""NA - Not applicable""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Not applicable"""
7361656;Significant decrease of photovoltaic power production by aerosols. The case of Santiago de Chile;Del Hoyo, M., Rondanelli, R., Escobar, R. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Screening emerging air pollutants""";"""Ambient (eg outdoor)""";"""Built environment and materials (buildings, constructions, polymers, etc)""";"""Meteorological measurements"", ""concentrations"", ""Computer Modeling"", ""Physical measurements of pollutants""";"""Aerosol"", ""O3 ozone - photochemical smog"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter"", ""GHGs - greenhouse gases"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions "", ""Traffic """
7361655;Atmospheric corrosion of galvanised steel in different environments in Chile and Mexico;Del Angel, E., Vera, R., Corvo, F. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment"", ""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Built environment and materials (buildings, constructions, polymers, etc)""";"""Others not classified"", ""concentrations"", ""Physical measurements of pollutants""";"""AC-Anion and cations"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Great North"", ""Little North"", ""Insular""";"""Natural sources "", ""Industrial and commercial emissions """
7361654;Complex refractive index of volcanic ash aerosol in the infrared, visible, and ultraviolet;Deguine, A., Petitprez, D., Clarisse, L.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361653;Source identification of polycyclic aromatic hydrocarbons in terrestrial soils in Chile;Deelaman, W., Pongpiachan, S., Tipmanee, D.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations"", ""Chemical composition""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Month - to 3 months""";"""Regional""";"""Only national""";"""Austral austral"", ""Central zone""";"""Domestic heating / wood burning"""
7361652;PLUME-MoM-TSM 1.0.0: A volcanic column and umbrella cloud spreading model;De'Michieli Vitturi, M., Pardini, F. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Others not classified"", ""Ecological  (animal, plants)""";"""concentrations"", ""Physical measurements of pollutants"", ""Satellite approach"", ""Meteorological measurements"", ""Computer Modeling""";"""PHYS - Physical measurements (eg radiation)"", ""Other""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""South zone""";"""Natural sources """
7361651;The value of vegetation cover for ecosystem services in the suburban context;de la Barrera, F., Rubio, P., Banzhaf, E. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361650;Megafires in Chile 2017: Monitoring multiscale environmental impacts of burned ecosystems;de la Barrera, F., Barraza, F., Favier, P.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PM - particulate matter""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""South zone"", ""Central zone""";"""Wildfires"""
7361649;Impacts of vehicle restrictions on urban transport flows: The case of Santiago, Chile;De Grange, L., Troncoso, R. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Others not classified""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361648;Iodine-129, Iodine-127 and Caesium-137 in the environment: Soils from Germany and Chile;Daraoui, A., Michel, R., Gorny, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public""";"""Ambient (eg outdoor)""";"""Human health""";"""Chemical composition"", ""concentrations""";"""Other""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Antartic"", ""National level(not insular or antarctic)"", ""Insular""";"""Power generation"""
7361647;Multi-criteria decision-making in the evaluation of environmental quality of OECD countries: The entropy weight and VIKOR methods;Dang, V. T., Dang, W. V. T. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur"", ""Other"", ""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Not applicable""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361646;Remote Sensing of Atmospheric and Ionospheric Signals Prior to the Mw 8.3 Illapel Earthquake, Chile 2015;Daneshvar, M. R. M., Freund, F. T. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361645;Air pollution and hospitalization for acute complications of diabetes in Chile;Dales, R. E., Cakmak, S., Vidal, C. B.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""SOx - Oxides of Sulphur"", ""COx - Oxides of Carbon"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361644;Air pollution and hospitalization for venous thromboembolic disease in Chile;Dales, R. E., Cakmak, S., Vidal, C. B. ;Toro, Richard;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)"", ""International organization""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological""";"""SOx - Oxides of Sulphur"", ""O3 ozone - photochemical smog"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Traffic """
7361643;Air pollution and hospitalization for headache in Chile;Dales, R. E., Cakmak, S., Vidal, C. B. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Epidemiological""";"""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361642;Depletion of the ozone column over the Andes Mountains of South America;Da Silva, L. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Climate""";"""Satellite approach""";"""O3 STRATOs - Ozone layer"", ""PHYS - Physical measurements (eg radiation)""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""Little North"", ""Great North""";"""Not applicable"""
7361641;Simulation of pollutant trajectories in natural and anthropogenic events;Da Silva, C. M., Tsuruta, F., Rodrigues, J. C.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""Meteorological measurements"", ""Satellite approach"", ""Computer Modeling""";"""Other""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""South zone""";"""Natural sources """
7361640;On-road traffic emissions in a megacity;D'Angiola, A., Dawidowski, L. E., GÃ³mez, D. R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""COx - Oxides of Carbon"", ""PM - particulate matter"", ""VOCs/SVOCs - Organic Compounds"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Central zone""";"""Traffic """
7361639;Estado actual del desarrollo de la ecologÃ­a urbana en grandes ciudades del sur de Chile;Cursach, J. A., Rau, J. R., Tobar, C. N.  et al.;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361638;Observations of the Variation in Aerosol and Cloud Microphysics along the 20 degrees S Transect on 13 November 2008 during VOCALS-REx;Cui, Z. Q., Gadian, A., Blyth, A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""Satellite approach"", ""Physical measurements of pollutants"", ""Meteorological measurements"", ""concentrations"", ""Chemical composition""";"""PM - particulate matter"", ""AC-Anion and cations"", ""Aerosol"", ""PHYS - Physical measurements (eg radiation)""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""Great North""";"""Others not classified"""
7361637;"Modeling study of biomass burning plumes and their impact on urban air quality; a case study of Santiago de Chile";Cuchiara, G. C., RappenglÃ¼ck, B., Rubio, M. A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""Computer Modeling"", ""concentrations""";"""COx - Oxides of Carbon"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"""
7361636;Arbolado urbano, calidad del aire y afecciones respiratorias en seis comunas de la provincia de Santiago, Chile;Criollo C, C., Assar C, R., CÃ¡ceres L, D.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Human health"", ""Ecological  (animal, plants)""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Natural sources "", ""Traffic """
7361635;Optical seeing mechanism of formation of thin turbulent laminae in the atmosphere;Coulman, C. E., Vernin, J., Fuchs, A. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361634;Emission factors for gasoline light-duty vehicles: Experimental program in Santiago, Chile;CorvalÃ¡n, R. M., Urrutia, C. M. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social"", ""Laboratory""";"""Regulatory and Legal""";"""concentrations"", ""Computer Modeling""";"""C  - TC/EC/OC/BC - Carbon compounds"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361633;Estimation of the contribution of catalytic converters to the reduction of atmospheric emissions in the Santiago (Chile) Metropolitan Region;CorvalÃ¡n, R. M., Osses, M., Urrutia, C. M.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
